Feature,Importance
Bit_806,0.0720958
Bit_875,0.063294254
Pre1_Amino,0.046193417
Bit_1984,0.041248433
Bit_536,0.039344907
Step1_H,0.03067092
Bit_432,0.02673667
Bit_287,0.022235623
Bit_1565,0.021492824
Bit_1104,0.02132988
Step1_Molecular Weight,0.020803591
Pre3_Boiling Point,0.019901806
Bit_1225,0.019786023
Bit_1878,0.018265741
Bit_158,0.016357947
Bit_1747,0.016129253
Bit_890,0.013915421
Bit_1199,0.01381046
Bit_314,0.013730206
Bit_637,0.012751907
Test_C,0.011582997
Bit_1855,0.011417248
Bit_1385,0.011411161
Bit_1840,0.011316083
Bit_1143,0.010404048
Pre1_Molar Amount,0.010306163
Bit_1315,0.010273377
Pre1_Molecular Weight,0.010024251
Bit_1917,0.009852614
Pre1_C,0.00939142
Pre3_C,0.008913234
Bit_1476,0.008084997
Test_Other_atoms,0.007610459
Test_C=O,0.00746464
Bit_1911,0.00738384
Bit_352,0.007381783
Pre1_N,0.007360191
Bit_1750,0.007074216
Bit_129,0.006781562
Bit_1737,0.006774783
Pre1_Other_atoms,0.006711331
Test_-COOH,0.006542221
Bit_77,0.006498558
Bit_1697,0.006467951
Pre3_Other_atoms,0.006219036
Bit_1873,0.005918982
Bit_90,0.005778776
Test_Boiling Point,0.00539306
Bit_8,0.005391476
Ex,0.005119365
